"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"CNPJ ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"ALCIMONE ROSA DA SILVA FERNANDES";"***.740.006-**";"ACUCENA";"31250616907746000113558900479443401474615580";"737,08";"02/06/2025";"47944340";"890";
"Ministério da Defesa";"Comando do Exército";"10.208.255/0001-06";"GALERIA HORT COMERCIO DE PRODUTOS ALIMENTICIOS EIRELI";"23.441.012/0001-57";"RIO DE JANEIRO";"33250623441012000157550010000085641538894576";"739,08";"02/06/2025";"8564";"1";
"Ministério da Defesa";"Comando do Exército";"10.339.838/0001-68";"DARLU IND TEXTIL LTDA";"40.223.106/0001-79";"BARAO DE COTEGIPE";"43250640223106000179550010000156581000322975";"739,50";"02/06/2025";"15658";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia Fluminense";"10.779.511/0001-07";"P H MORENO DA SILVA COMERCIO ME";"52.036.195/0001-23";"MACAE";"33250652036195000123550020000000181214368908";"740,00";"01/06/2025";"18";"2";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0001-65";"SALVIANA PEREIRA DE BRITO";"***.295.433-**";"MIRADOR";"21250603526252000147558902530734321927303814";"740,22";"02/06/2025";"253073432";"890";
"Ministério da Defesa";"Comando do Exército";"09.578.069/0001-71";"BJP COMERCIO E DISTRIBUICAO DE ALIMENTOS LTDA";"28.255.113/0001-57";"VARZEA PAULISTA";"35250628255113000157550010000350411383996966";"740,82";"02/06/2025";"35041";"1";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"MIRIANA MARQUES MONSORES";"***.784.517-**";"PATY DO ALFERES";"33250600015778451709559200000000031046000003";"741,00";"02/06/2025";"3";"920";
"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"29.427.465/0001-05";"CCS VALENTE COM. DE GENEROS ALIMENTICIOS - ME";"09.031.962/0001-82";"RIO DE JANEIRO";"33250609031962000182550010000583681096726501";"742,00";"02/06/2025";"58368";"1";
"Ministério da Defesa";"Comando do Exército";"07.540.208/0001-42";"J.J.VITALLI";"08.658.622/0001-13";"FREDERICO WESTPHALEN";"43250608658622000113550010000458011185823480";"743,60";"02/06/2025";"45801";"1";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"MARI ZILEI SIMOES DE FARIAS DE MELO";"***.157.899-**";"CAMPO ALEGRE";"42250600000815789971559100000000031487424440";"744,00";"03/06/2025";"3";"910";
"Ministério da Defesa";"Comando do Exército";"09.552.574/0001-47";"DARDOUR TINTAS COMERCIO E SERVICOS LTDA";"10.679.547/0001-19";"CARAGUATATUBA";"35250610679547000119550010000033241118198195";"746,30";"02/06/2025";"3324";"1";
"Ministério da Educação";"Universidade Federal do Rio Grande";"94.877.586/0001-10";"REGINA CELIA CUNHA DE SOUSA 00641565755";"36.336.388/0001-43";"RIO DE JANEIRO";"33250636336388000143550010000024641272936490";"747,00";"02/06/2025";"2464";"1";
"Ministério da Defesa";"Comando do Exército";"09.614.209/0001-10";"J J ALIMENTOS  CONVENIENCIAS LTDA";"07.523.249/0001-20";"RECIFE";"26250607523249000120550010000177631150959226";"747,00";"02/06/2025";"17763";"1";
"Ministério da Defesa";"Fundo do Exército";"09.620.754/0002-08";"W R DO CARMO INFORMATICA";"28.184.495/0001-75";"SANTO ANDRE";"35250628184495000175550010000011631152202504";"747,04";"02/06/2025";"1163";"1";
"Sem informação";"Sem informação";"00.394.502/0060-02";"DENTAL BONSUCESSO PRODUTOS ODONTOLOGICOS LTDA";"02.482.141/0001-13";"RIO DE JANEIRO";"33250602482141000113550010000150481048159258";"747,09";"02/06/2025";"15048";"1";
"Ministério da Defesa";"Comando do Exército";"03.510.668/0001-77";"NSA ALIMENTOS LTDA";"18.563.967/0001-47";"JUIZ DE FORA";"31250618563967000147550010000105271213628868";"747,30";"03/06/2025";"10527";"1";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"75.101.873/0004-32";"SIGMA ALDRICH BRASIL LTDA";"68.337.658/0001-27";"CAJAMAR";"35250668337658000127550030004056621017442907";"748,00";"02/06/2025";"405662";"3";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"BENEDITA DAS DORES MOREIRA";"***.406.806-**";"ACUCENA";"31250616907746000113558900479444541572592453";"748,18";"02/06/2025";"47944454";"890";
"Ministério da Defesa";"Comando do Exército";"09.643.858/0001-49";"CRIATIVA SOLUCOES PARA CONSTRUCAO LTDA";"19.994.997/0001-70";"CAETE";"31250619994997000170550010000018691922879330";"748,20";"02/06/2025";"1869";"1";
"Ministério da Defesa";"Comando da Marinha";"00.394.502/0594-67";"52481385 ESTHELA MANY REIS DUTRA";"52.481.385/0001-50";"MANAUS";"13250652481385000150550010000000171640011673";"750,00";"01/06/2025";"17";"1";
"Ministério da Fazenda";"Ministério da Fazenda - Unidades com vínculo direto";"00.394.460/0159-20";"COMERCIAL MACHADO MATERIAIS DE CONSTRUCAO LTDA";"07.108.333/0001-88";"CORUMBAIBA";"52250607108333000188550010000159651592908030";"750,00";"02/06/2025";"15965";"1";
"Sem informação";"Sem informação";"00.394.502/0191-63";"NUTRI ALIMENTOS DE NILOPOLIS COMERCIO ATACADISTA LTDA";"11.074.537/0001-12";"NILOPOLIS";"33250611074537000112550010000221311152202500";"750,00";"02/06/2025";"22131";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"10.825.373/0012-08";"B M P AGRA";"33.185.946/0001-29";"MACEIO";"27250633185946000129550010000001031175279780";"750,00";"02/06/2025";"103";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0179-33";"NOVA FASE 2024 COMERCIO E SERVICOS LTDA";"56.604.357/0001-33";"RIO DE JANEIRO";"33250656604357000133550010000000121391337177";"750,00";"02/06/2025";"12";"1";
"Sem informação";"Sem informação";"00.394.502/0398-65";"ALNETTO COMERCIAL E SERVICOS LTDA";"27.039.914/0001-12";"NITEROI";"33250627039914000112550030000045111219552586";"750,00";"02/06/2025";"4511";"3";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia de Alagoas";"10.825.373/0009-02";"B M P AGRA";"33.185.946/0001-29";"MACEIO";"27250633185946000129550010000001001709705899";"750,00";"02/06/2025";"100";"1";
"Ministério da Previdência Social";"Instituto Nacional do Seguro Social";"29.979.036/1160-17";"AUTOPEL AUTOMACAO COMERCIAL E INFORMATICA LTDA.";"06.698.091/0005-90";"SANTANA DE PARNAIBA";"35250606698091000590550010008913651454827457";"751,37";"02/06/2025";"891365";"1";
"Sem informação";"Sem informação";"00.394.452/0189-08";"PANIFICACAO E CONFEITARIA TUPAN LTDA";"33.125.634/0001-20";"RIO DE JANEIRO";"33250633125634000120550010000046601000046046";"751,90";"02/06/2025";"4660";"1";
"Sem informação";"Sem informação";"00.394.452/0189-08";"PANIFICACAO E CONFEITARIA TUPAN LTDA";"33.125.634/0001-20";"RIO DE JANEIRO";"33250633125634000120550010000046611000046051";"751,90";"02/06/2025";"4661";"1";
"Ministério da Defesa";"Comando do Exército";"09.580.391/0001-35";"CALTI COMÉRCIO E SERVIÇOS LTDA";"35.000.103/0001-36";"VALINHOS";"35250635000103000136550010000001631807120112";"752,00";"02/06/2025";"163";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia do Ceará";"10.744.098/0002-26";"SAMS COMERCIO DE PRODUTOS ALIMENTICIOS EIRELLI";"04.401.608/0001-89";"FORTALEZA";"23250604401608000189550010000015761573949169";"753,10";"02/06/2025";"1576";"1";
"Ministério da Educação";"Universidade Federal do Ceará";"07.272.636/0001-31";"LABORATORIAL COMERCIO E SERVICOS LTDA";"04.626.218/0001-07";"FORTALEZA";"23250604626218000107550010000395091468537220";"754,00";"03/06/2025";"39509";"1";
"Ministério da Defesa";"Fundo do Exército";"10.360.293/0002-52";"GRIFOLS BRASIL LTDA";"02.513.899/0004-14";"ITAPEVI";"35250602513899000414550010000336711861844911";"755,00";"02/06/2025";"33671";"1";
"Ministério da Defesa";"Fundo do Exército";"10.360.293/0002-52";"GRIFOLS BRASIL LTDA";"02.513.899/0004-14";"ITAPEVI";"35250602513899000414550010000336751908658590";"755,00";"02/06/2025";"33675";"1";
"Ministério da Defesa";"Comando do Exército";"09.635.270/0001-43";"FRANGOS PIONEIRO INDUSTRIA E COMERCIO DE ALIMENTOS LTDA";"00.974.731/0006-42";"JOAQUIM TAVORA";"41250600974731000642550030027255341028746379";"755,08";"02/06/2025";"2725534";"3";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia de Minas Gerais";"10.626.896/0006-87";"ASSOCIACAO COMUNITARIA BARRA DO CANSANCAO";"11.361.738/0001-09";"SAO JOAO EVANGELISTA";"31250611361738000109550010000005251033060844";"756,00";"02/06/2025";"525";"1";
"Sem informação";"Sem informação";"00.059.311/0060-86";"CASA DAS LONAS LTDA.";"03.444.532/0001-06";"LONDRINA";"41250603444532000106550010000498591000672369";"756,00";"02/06/2025";"49859";"1";
"Ministério da Defesa";"Comando do Exército";"07.541.172/0001-11";"BJ COMERCIO DE ALIMENTOS LTDA";"07.227.808/0001-55";"JOAO PESSOA";"25250607227808000155550010000092981572100780";"756,10";"02/06/2025";"9298";"1";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0047-68";"JAVA MED MATERIAIS HOSPITALARES LTDA";"45.508.404/0001-29";"CAMPO GRANDE";"50250645508404000129550010000033081409589835";"756,20";"02/06/2025";"3308";"1";
"Ministério dos Transportes";"Departamento Nacional de Infraestrutura de Transportes";"04.892.707/0005-34";"FORTPEL COMERCIO DE DESCARTAVEIS LTDA - RS";"04.907.604/0001-77";"PORTO ALEGRE";"43250604907604000177550000013800531113800530";"756,36";"02/06/2025";"1380053";"0";
"Ministério da Defesa";"Fundo do Exército";"09.535.458/0002-09";"LUCIANO SERGIO GUIMARAES DE SA BARRETO";"35.785.276/0001-07";"PAULISTA";"26250635785276000107550010000009831152202502";"756,66";"02/06/2025";"983";"1";
"Ministério da Defesa";"Comando do Exército";"09.575.381/0001-01";"FAL COMERCIO DE ALIMENTOS E EQUIPAMENTOS EIRELI";"09.219.009/0001-62";"CRUZ ALTA";"43250609219009000162550000000321091638942161";"759,00";"02/06/2025";"32109";"0";
"Ministério da Defesa";"Comando do Exército";"09.621.924/0001-80";"MARCELO SOUSA GONCALVES";"44.883.034/0001-47";"SAO PAULO";"35250644883034000147550010000006851031604046";"759,15";"01/06/2025";"685";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0179-33";"QUALITY COMERCIO E SERVICOS EM GERAL LTDA";"20.676.042/0001-54";"RIO DE JANEIRO";"33250620676042000154550010000008581152202500";"760,00";"02/06/2025";"858";"1";
"Ministério da Defesa";"Comando da Marinha";"00.394.502/0545-89";"59.343.967 GILMARA DE SOUZA FERNANDES";"59.343.967/0001-19";"CASTELO";"32250659343967000119550010000000281337509606";"760,00";"02/06/2025";"28";"1";
"Ministério da Defesa";"Comando do Exército";"09.584.021/0001-76";"NOVA POMPEIA COMERCIO VAREJISTA E ATACADISTA DE TI";"47.122.108/0001-10";"CONCORDIA";"42250647122108000110550010000016051010075183";"760,20";"02/06/2025";"1605";"1";
"Ministério da Previdência Social";"Instituto Nacional do Seguro Social";"29.979.036/1441-42";"BRS SUPRIMENTOS CORPORATIVOS S/A";"03.746.938/0013-87";"SAO LEOPOLDO";"43250603746938001387550040004854481654423617";"760,24";"02/06/2025";"485448";"4";
"Sem informação";"Sem informação";"00.394.494/0005-60";"ATACADAO DAS PECAS EIRELI";"15.427.788/0001-94";"ITAITUBA";"15250615427788000194550010000092601013556395";"761,43";"02/06/2025";"9260";"1";
"Ministério da Educação";"Fundação Universidade Federal do Pampa";"09.341.233/0001-22";"SULCLEAN SERVICOS LTDA";"06.205.427/0001-02";"SANTA MARIA";"43250606205427000102550040000939461649336410";"761,82";"02/06/2025";"93946";"4";
"Ministério da Ciência, Tecnologia e Inovação";"Comissão Nacional de Energia Nuclear";"00.402.552/0005-50";"AIR PRODUCTS BRASIL LTDA.";"43.843.358/0003-50";"MOGI DAS CRUZES";"35250643843358000350550090013830431043610234";"761,83";"02/06/2025";"1383043";"9";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia da Bahia";"10.764.307/0019-41";"ASSOC DE MORADORES DO POVOADO DE BOA VISTA";"13.459.417/0001-69";"SANTO ANTONIO DE JESUS";"29250613937073000156558900258218251835836249";"762,88";"02/06/2025";"25821825";"890";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"ROSINILDO CARLOS DA SILVA KAXINAWA";"***.108.342-**";"MARECHAL THAUMATURGO";"12250604034484000140558910000257651196069567";"765,00";"02/06/2025";"25765";"891";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"SIDNEI MARIANO DOS SANTOS";"***.940.769-**";"ADRIANOPOLIS";"41250678393592000146558900029404591466832889";"765,12";"02/06/2025";"2940459";"890";
"Ministério da Educação";"Colégio Pedro II";"42.414.284/0001-02";"COMERCIAL MILANO BRASIL LTDA";"01.920.177/0001-79";"DUQUE DE CAXIAS";"33250601920177000179550010066988251774807456";"765,40";"02/06/2025";"6698825";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0188-24";"MIX AUTOMOTIVA COMERCIO DE PECAS LTDA";"03.446.873/0001-10";"MANAUS";"13250603446873000110550000000000181000006122";"765,78";"02/06/2025";"18";"0";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"MARIA EFIGENIA PEREIRA DOS SANTOS DA CRUZ";"***.622.236-**";"VIRGEM DA LAPA";"31250616907746000113558900479369511278113927";"766,18";"02/06/2025";"47936951";"890";
"Sem informação";"Sem informação";"00.394.502/0065-09";"FANGAN DO MAR CEREAIS LTDA.";"29.949.955/0001-71";"RIO DE JANEIRO";"33250629949955000171550010000000971567711183";"767,00";"02/06/2025";"97";"1";
"Ministério da Defesa";"Comando do Exército";"09.621.819/0001-40";"CASOLE COMERCIO E DIST. DE ALIMENTOS EIRELI";"05.880.227/0001-92";"SAO PAULO";"35250605880227000192550010000191551800593777";"768,20";"02/06/2025";"19155";"1";
"Sem informação";"Sem informação";"00.394.502/0343-91";"CCS VALENTE COM. DE GENEROS ALIMENTICIOS - ME";"09.031.962/0001-82";"RIO DE JANEIRO";"33250609031962000182550010000583671343346982";"768,60";"02/06/2025";"58367";"1";
"Ministério da Defesa";"Comando do Exército";"09.625.886/0001-33";"MS CONSTRUCAO CIVIL E REPAROS NAVAIS LTDA";"51.188.920/0001-16";"MARICA";"33250651188920000116550020000001721814828363";"769,48";"02/06/2025";"172";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0190-49";"MENMAR COMERCIO DE ALIMENTOS LTDA";"01.968.236/0001-89";"SAO GONCALO";"33250601968236000189550020000019851000052937";"769,60";"02/06/2025";"1985";"2";
"Ministério da Defesa";"Fundo do Exército";"03.510.668/0002-58";"GESET COMERCIO ASSISTENCIA TECNICA E LOCACOES MAQ DUPLIC LTD";"03.914.523/0001-31";"MATIAS BARBOSA";"31250603914523000131550010000326311000516777";"769,72";"02/06/2025";"32631";"1";
"Sem informação";"Sem informação";"00.394.502/0012-05";"MARISOL COM ATAC DE AL GERAL EIRELI EPP";"26.788.865/0001-58";"RIO DE JANEIRO";"33250626788865000158550010000153351000175808";"769,90";"02/06/2025";"15335";"1";
"Sem informação";"Sem informação";"00.394.494/0008-02";"FORT FRIO COMERCIO, LOCACOES E SERVICOS LTDA";"18.516.925/0001-55";"MOSSORO";"24250618516925000155550010000016401693337097";"770,25";"02/06/2025";"1640";"1";
"Ministério da Defesa";"Fundo do Exército";"09.580.957/0002-00";"MEDMAX COM DE MEDICAMENTOS LTDA";"16.553.940/0001-48";"ERECHIM";"43250616553940000148550000000196671968855710";"771,00";"02/06/2025";"19667";"0";
"Ministério da Defesa";"Fundo do Exército";"09.644.710/0002-00";"PUMA LICITACOES LTDA";"50.544.276/0001-09";"FORTALEZA";"23250650544276000109550010000001901204399640";"771,00";"02/06/2025";"190";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0028-56";"AHO FRANCE FILIAL LTDA";"35.373.738/0002-60";"VARZEA GRANDE";"51250635373738000260550010000017651000117497";"771,26";"02/06/2025";"1765";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0040-42";"EREAR CENTRO AUTOMOTIVO LTDA-ME";"09.524.022/0001-25";"SANTOS";"35250609524022000125550010000016901676016909";"772,89";"02/06/2025";"1690";"1";
"Ministério da Defesa";"Comando do Exército";"09.647.624/0001-70";"AMARILDO ALBERTO MARQUES RODRIGUES & CIA LTDA";"33.388.826/0001-29";"MANAUS";"13250633388826000129550010000000881895272410";"772,96";"01/06/2025";"88";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0197-15";"ARARA COMERCIO DE MAT. DE CONST. EIRELI";"39.617.929/0001-08";"BELEM";"15250639617929000108550010000077571651021392";"774,28";"02/06/2025";"7757";"1";
"Ministério da Defesa";"Comando do Exército";"09.576.614/0001-90";"GAMELEIRA COM. E SERVICOS LTDA";"03.687.304/0001-67";"MARABA";"15250603687304000167550010000153411939200008";"774,30";"02/06/2025";"15341";"1";
"Sem informação";"Sem informação";"12.059.276/0001-24";"ITAGUAI CONSTRUCOES NAVAIS S A";"10.827.182/0001-22";"ITAGUAÍ";"33250610827182000122550010000299591951628660";"774,35";"03/06/2025";"29959";"1";
"Ministério da Defesa";"Comando da Marinha";"00.394.502/0541-55";"58.310.942 LEONARDO DE LIMA FARIA";"58.310.942/0001-56";"MIGUEL PEREIRA";"33250642498675000152558900102601901482347667";"775,00";"02/06/2025";"10260190";"890";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"ANTONIO PROCOPIO DA FRAGA FILHO";"***.431.607-**";"PATY DO ALFERES";"33250600008543160782559210000000131186887688";"776,40";"01/06/2025";"13";"921";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0174-29";"MEDICAL SUTURE COMERCIO DE MATERIAL HOSPITALAR LTDA";"02.376.490/0001-50";"RIO DE JANEIRO";"33250602376490000150550010001276931045936321";"776,52";"02/06/2025";"127693";"1";
"Ministério da Defesa";"Fundo do Exército";"11.316.642/0002-00";"DENTAL BONSUCESSO PRODUTOS ODONTOLOGICOS LTDA";"02.482.141/0001-13";"RIO DE JANEIRO";"33250602482141000113550010000150661223253163";"776,75";"03/06/2025";"15066";"1";
"Ministério da Defesa";"Comando do Exército";"10.439.707/0001-52";"CCS VALENTE COM. DE GENEROS ALIMENTICIOS - ME";"09.031.962/0001-82";"RIO DE JANEIRO";"33250609031962000182550010000583881486358038";"776,87";"02/06/2025";"58388";"1";
"Ministério da Defesa";"Comando do Exército";"23.196.151/0001-62";"A D SILVA COMERCIAL EPP";"06.296.886/0001-49";"SAO PAULO";"35250606296886000149550000000027361000003422";"777,00";"02/06/2025";"2736";"0";
"Ministério da Defesa";"Comando do Exército";"07.565.863/0001-55";"FABIO ALMEIDA FERREIRA";"***.832.086-**";"ARAGUARI";"31250616907746000113558900479336511458540165";"778,20";"02/06/2025";"47933651";"890";
"Ministério da Defesa";"Fundo do Exército";"09.539.711/0002-94";"ALFEMA DOIS MERCANTIL CIRURGICA LTDA .";"33.761.636/0001-05";"CAMPO GRANDE";"50250633761636000105550010001406481599352836";"778,20";"02/06/2025";"140648";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte";"10.877.412/0010-59";"L S MOURA DISTRIBUIDORA EIRELI";"30.386.911/0001-60";"NATAL";"24250630386911000160550020000872281518005120";"778,35";"02/06/2025";"87228";"2";
"Ministério da Defesa";"Comando do Exército";"09.566.499/0001-73";"J.J.VITALLI";"08.658.622/0001-13";"FREDERICO WESTPHALEN";"43250608658622000113550010000457921205430070";"778,44";"02/06/2025";"45792";"1";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"FERNANDA DOS SANTOS FRAGA";"***.903.717-**";"PATY DO ALFERES";"33250600003690371708559200000000461010160003";"779,90";"02/06/2025";"46";"920";
"Ministério da Defesa";"Comando do Exército";"09.533.402/0001-26";"PAO E MEL LTDA";"36.447.527/0001-06";"PETROLINA";"26250636447527000106550010000034471389909252";"780,00";"02/06/2025";"3447";"1";
"Ministério da Educação";"Ministério da Educação - Unidades com vínculo direto";"00.394.445/0272-12";"MTX COMERCIO DE ALIMENTOS LTDA";"47.941.337/0001-67";"RIO DE JANEIRO";"33250647941337000167551000000002141001249515";"780,00";"02/06/2025";"214";"100";
"Ministério da Educação";"Universidade Federal de Viçosa";"25.944.455/0001-96";"PREVENTIVA INFORMATICA COMERCIAL LTDA";"07.688.388/0001-04";"RIO DE JANEIRO";"33250607688388000104550010000018741522733554";"780,00";"02/06/2025";"1874";"1";
"Ministério da Previdência Social";"Instituto Nacional do Seguro Social";"29.979.036/1160-17";"BLUWIT COMÉRCIO LTDA";"54.687.291/0001-67";"POÁ";"35250654687291000167550010000001091300474899";"780,10";"01/06/2025";"109";"1";
"Ministério da Educação";"Colégio Pedro II";"42.414.284/0011-84";"AUTOPEL AUTOMACAO COMERCIAL E INFORMATICA LTDA.";"06.698.091/0005-90";"SANTANA DE PARNAIBA";"35250606698091000590550010008913191291054591";"781,00";"02/06/2025";"891319";"1";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"NISETE KARO MUNDURUKU";"***.484.422-**";"JACAREACANGA";"15250605054903000179558900036045971124008432";"781,44";"02/06/2025";"3604597";"890";
"Sem informação";"Sem informação";"00.394.502/0066-90";"ROBERTA M OLIVEIRA DE LIRA COMERCIO E SERVICOS";"24.560.896/0001-21";"RECIFE";"26250624560896000121550010000028641728931896";"781,50";"02/06/2025";"2864";"1";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0030-70";"CURINGA PNEUMATICOS LTDA - FL 11";"34.637.195/0023-02";"MARABA";"15250634637195002302550110000234651390771974";"782,00";"02/06/2025";"23465";"11";
"Ministério da Defesa";"Comando do Exército";"09.612.844/0001-68";"NOVIDADES CABANO COM. ART. PAP. EIRELI";"05.194.705/0001-00";"BELEM";"15250605194705000100550020000001341001374423";"782,50";"02/06/2025";"134";"2";
"Ministério da Justiça e Segurança Pública";"Polícia Federal";"00.394.494/0029-37";"GRIFFE PNEUS";"08.057.428/0001-82";"BELO HORIZONTE";"31250608057428000182550010000374181781185089";"782,52";"03/06/2025";"37418";"1";
"Ministério da Defesa";"Comando do Exército";"09.556.126/0001-11";"AMC COMERCIO DE ALIMENTOS LTDA";"48.451.121/0001-86";"SANTA MARIA";"43250648451121000186550010000013881529142047";"784,00";"02/06/2025";"1388";"1";
"Sem informação";"Sem informação";"00.038.166/0007-92";"ELEVADORES OTIS LTDA";"29.739.737/0007-06";"RECIFE";"26250629739737000706550010000624491000561282";"785,33";"02/06/2025";"62449";"1";
"Ministério da Defesa";"Comando do Exército";"09.595.355/0001-45";"VICMA COMERCIO DE EQUIPAMENTOS PARA ESCRITÓRIO LTDA-EPP";"05.630.085/0001-05";"RIO DE JANEIRO";"33250605630085000105550000000067591000509790";"785,96";"02/06/2025";"6759";"0";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0188-24";"MIX AUTOMOTIVA COMERCIO DE PECAS LTDA";"03.446.873/0001-10";"MANAUS";"13250603446873000110550000000000171000005781";"787,18";"02/06/2025";"17";"0";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"AZARIAS PINHEIRO DE CASTRO";"***.201.623-**";"GRAJAU";"21250603526252000147558902530735161422143048";"789,20";"02/06/2025";"253073516";"890";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"CLAUDIO GOMES DOS SANTOS";"***.817.634-**";"TUPANATINGA";"26250610572014000133558900020938491503886698";"789,57";"02/06/2025";"2093849";"890";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0095-65";"ICE COLD COMERCIO & SERVICOS LTDA";"05.960.969/0001-28";"RIO BRANCO";"12250605960969000128550010000000281123310226";"790,00";"02/06/2025";"28";"1";
"Ministério da Educação";"Instituto Federal de Educação, Ciência e Tecnologia Baiano";"10.724.903/0003-30";"BAHIA CESTAS LTDA";"05.788.360/0001-13";"SALVADOR";"29250605788360000113550010000407761952471346";"790,00";"02/06/2025";"40776";"1";
"Ministério da Saúde";"Fundação Oswaldo Cruz";"33.781.055/0001-35";"GUARAILHA DISTR DE ALIMENTOS LTDA";"10.910.334/0001-56";"RIO DE JANEIRO";"33250610910334000156550010000417351000417991";"790,19";"02/06/2025";"41735";"1";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"LEILIANE BATISTA PEREIRA";"***.043.262-**";"SANTA LUZIA DO PARA";"15250605054903000179558900036050531207061490";"790,52";"02/06/2025";"3605053";"890";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"MATHEUS TIBAES LISBOA";"***.494.577-**";"PATY DO ALFERES";"33250600014649457726559200000000101955405296";"793,60";"01/06/2025";"10";"920";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0040-91";"NOGUEIRA E CIA LTDA";"05.883.236/0001-37";"GUAJARA-MIRIM";"11250605883236000137550030000047341831093564";"795,00";"02/06/2025";"4734";"3";
"Ministério da Defesa";"Fundo do Exército";"09.546.639/0002-22";"OP QUIRINO DISTRIBUIDORA DE PRODUTOS HOSPITALARES LTDA EPP";"22.228.679/0001-03";"APARECIDA DE GOIANIA";"52250622228679000103550010000046291002549759";"795,20";"02/06/2025";"4629";"1";
