"ORGÃO SUPERIOR DESTINATÁRIO";"ÓRGÃO DESTINATÁRIO";"CNPJ ÓRGÃO DESTINATÁRIO";"FORNECEDOR";"CNPJ DO FORNECEDOR";"MUNICÍPIO DO FORNECEDOR";"CHAVE DA NF-E";"VALOR DA NOTA (R$)";"DATA DA EMISSÃO";"NÚMERO";"SÉRIE";
"Ministério da Educação";"Fundação Universidade Federal de Sergipe";"13.031.547/0001-04";"TRAJO COMERCIO E SERVICOS LTDA";"36.007.350/0001-27";"CRUZ DAS ALMAS";"29250636007350000127550010000004451000004469";"260,00";"01/06/2025";"445";"1";
"Ministério da Educação";"Universidade Federal do Rio de Janeiro";"33.663.683/0001-16";"TAVARES MARKET LTDA";"45.085.139/0001-13";"MACAÉ";"33250645085139000113550010000005481000292188";"260,21";"03/06/2025";"548";"1";
"Ministério da Educação";"Universidade Federal Fluminense";"28.523.215/0004-59";"SOLAMARIS DO RIO FORNE. DE FRU ALI LTDA";"40.326.381/0001-18";"RIO DE JANEIRO";"33250640326381000118550010002624311003026346";"260,30";"02/06/2025";"262431";"1";
"Ministério da Defesa";"Fundo do Exército";"09.601.850/0002-09";"MAESB MATERIAL DE CONSTRUCAO EST E BEB LTDA";"04.007.977/0001-91";"MANAUS";"13250604007977000191550010000875751000875760";"260,84";"03/06/2025";"87575";"1";
"Ministério da Defesa";"Comando do Exército";"03.510.668/0001-77";"NSA ALIMENTOS LTDA";"18.563.967/0001-47";"JUIZ DE FORA";"31250618563967000147550010000105301517104295";"261,00";"03/06/2025";"10530";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0059-27";"ARCANJOS COMERCIAL DE ALIMENTOS LTDA";"19.600.228/0001-40";"BRASILIA";"53250619600228000140550010000135671000012824";"261,04";"02/06/2025";"13567";"1";
"Ministério da Defesa";"Comando do Exército";"10.295.746/0001-23";"EDNALDO LOPES GONÇALVES LTDA";"09.388.117/0001-69";"NATAL";"24250609388117000169550010000822701520016967";"262,07";"02/06/2025";"82270";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004520291315462245";"262,15";"02/06/2025";"452029";"1";
"Ministério da Defesa";"Ministério da Defesa - Unidades com vínculo direto";"07.129.796/0001-26";"L S COMERCIO E SERVICOS LTDA";"12.125.791/0035-04";"SANTA INES";"21250612125791003504550310000005471097474996";"262,19";"02/06/2025";"547";"31";
"Ministério da Agricultura e Pecuária";"Ministério da Agricultura e Pecuária - Unidades com vínculo direto";"00.396.895/0010-16";"VNI COMERCIO DE COMBUSTIVEIS LTDA";"09.007.714/0001-04";"ITIQUIRA";"51250609007714000104550010001637341615416282";"262,30";"01/06/2025";"163734";"1";
"Ministério da Defesa";"Comando do Exército";"10.360.293/0001-71";"ZM COMERCIO DE ALIMENTOS LTDA";"23.004.413/0001-40";"CANOAS";"43250623004413000140550000000037791357623300";"262,53";"02/06/2025";"3779";"0";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0059-27";"TS AUTO CENTER OFICINA MECANICA E TROCA DE OLEO LTDA";"32.797.918/0001-08";"BRASILIA";"53250632797918000108550010000000481243546230";"262,67";"02/06/2025";"48";"1";
"Sem informação";"Sem informação";"00.394.502/0064-28";"L S MOURA DISTRIBUIDORA EIRELI";"30.386.911/0001-60";"NATAL";"24250630386911000160550020000872041518005129";"262,85";"02/06/2025";"87204";"2";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0183-10";"MIC SERVICOS DE ESTERILIZACOES LTDA";"94.210.572/0001-49";"PORTO ALEGRE";"43250694210572000149550040007111451392059052";"262,99";"01/06/2025";"711145";"4";
"Ministério da Educação";"Universidade Tecnológica Federal do Paraná";"75.101.873/0012-42";"SIGMA ALDRICH BRASIL LTDA";"68.337.658/0001-27";"CAJAMAR";"35250668337658000127550030004055201017441484";"263,00";"02/06/2025";"405520";"3";
"Ministério da Educação";"Universidade Federal da Bahia";"15.180.714/0001-04";"TDA MATERIAIS E INSUMOS PARA LABORATORIO LTDA";"24.492.680/0001-76";"SUZANO";"35250624492680000176550010000002021709972564";"263,00";"02/06/2025";"202";"1";
"Ministério da Defesa";"Comando da Aeronáutica";"00.394.429/0179-33";"WRGM DISTRIBUIDORA LTDA";"43.147.204/0001-62";"RIO DE JANEIRO";"33250643147204000162550010000011401860775890";"263,25";"02/06/2025";"1140";"1";
"Ministério da Educação";"Universidade Federal de Goiás";"01.567.601/0001-43";"AUTO POSTO INDIANAPOLIS LTDA";"07.517.547/0001-08";"GOIANIA";"52250607517547000108550020000132661626754842";"263,26";"02/06/2025";"13266";"2";
"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome";"Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome - Unidades com vínculo direto";"05.526.783/0004-08";"VAGNER SCHOCK";"***.346.199-**";"ORTIGUEIRA";"41250678393592000146558900029352121505929126";"263,81";"02/06/2025";"2935212";"890";
"Sem informação";"Sem informação";"00.394.502/0099-58";"ARMAZEM COLORIDO LTDA";"21.866.437/0001-82";"RIO DE JANEIRO";"33250621866437000182550010000000611254471981";"264,00";"02/06/2025";"61";"1";
"Sem informação";"Sem informação";"00.394.502/0344-72";"PADARIA MARIA FARINHA LTDA ME";"04.390.887/0001-22";"RIO DE JANEIRO";"33250604390887000122550010000632021000632814";"264,00";"02/06/2025";"63202";"1";
"Ministério da Defesa";"Comando do Exército";"09.650.564/0001-44";"MR MAGALHAES SILVA LTDA";"05.040.396/0001-14";"FORTALEZA";"23250605040396000114550010000047401000035158";"264,00";"02/06/2025";"4740";"1";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"EMPRES BRASILEIRA DE CORREIOS E TELEGRAFOS";"34.028.316/9232-28";"CAJAMAR";"35250634028316923228550010004518521766153821";"264,69";"02/06/2025";"451852";"1";
"Ministério do Planejamento e Orçamento";"Fundação Instituto Brasileiro de Geografia e Estatística";"33.787.094/0001-40";"COMERCIO DE DERIVADOS DE PETROLEO VANILDA LTDA";"30.933.311/0001-74";"ITAGUAI";"33250630933311000174550050001717811998083615";"264,76";"02/06/2025";"171781";"5";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"PANTOGRAF GRAFICA E EDITORA LTDA";"29.055.287/0004-81";"GUARULHOS";"35250629055287000481550010000028171152202503";"265,50";"02/06/2025";"2817";"1";
"Ministério da Defesa";"Comando do Exército";"09.553.075/0001-74";"ALMADA MATERIAIS DE CONSTRUCAO LTDA";"13.014.203/0001-89";"PORTO ALEGRE";"43250613014203000189550100000052071702500010";"265,50";"02/06/2025";"5207";"10";
"Ministério da Educação";"Fundo Nacional de Desenvolvimento da Educação";"00.378.257/0001-81";"PANTOGRAF GRAFICA E EDITORA LTDA";"29.055.287/0004-81";"GUARULHOS";"35250629055287000481550010000028021152202500";"265,50";"02/06/2025";"2802";"1";
"Ministério da Saúde";"Ministério da Saúde - Unidades com vínculo direto";"00.394.544/0036-05";"CALEVI MINERADORA E COMERCIO LTDA";"03.160.007/0001-69";"BRASILIA";"53250603160007000169550010001071141000690918";"265,65";"03/06/2025";"107114";"1";
"Ministério da Defesa";"Comando do Exército";"07.549.168/0001-08";"LIMA & CARVALHO AUTO PECAS LTDA";"40.513.495/0001-77";"PICOS";"22250640513495000177550010000084861812318369";"265,71";"03/06/2025";"8486";"1";
"Ministério da Defesa";"Fundo do Exército";"09.596.556/0002-48";"VICTOR ALMEIDA TAMBARA";"35.508.295/0001-96";"ALEGRETE";"43250635508295000196550010000031731029394328";"265,92";"02/06/2025";"3173";"1";
"Sem informação";"Sem informação";"00.394.502/0129-08";"MIL SPECIAL IMP E EXP DE MAQUINAS E EQUIPAMENTOS LTDA";"11.453.579/0001-64";"RIO DE JANEIRO";"33250611453579000164550010000180281017090926";"266,10";"03/06/2025";"18028";"1";
